product_id,product_name,category,current_stock,reorder_level,unit_cost,unit_price,supplier_id,last_restock_date
P001,Laptop,Electronics,45,20,699.99,899.99,SUP001,2024-02-15
P002,Mouse,Electronics,150,50,19.99,29.99,SUP001,2024-02-20
P003,Keyboard,Electronics,80,30,49.99,79.99,SUP001,2024-02-18
P004,Monitor,Electronics,35,15,199.99,299.99,SUP002,2024-02-25
P005,Desk Chair,Furniture,25,10,129.99,199.99,SUP003,2024-02-10
P006,Notebook,Stationery,500,200,2.99,4.99,SUP004,2024-03-01
P007,Pen Set,Stationery,300,100,5.99,9.99,SUP004,2024-03-01
P008,Backpack,Accessories,60,25,29.99,49.99,SUP005,2024-02-28
P009,Water Bottle,Accessories,120,50,12.99,19.99,SUP005,2024-02-28
P010,USB Cable,Electronics,200,75,4.99,9.99,SUP001,2024-03-02
